 21/3/2021,, 22/3/2021,, 23/3/2021,, 24/3/2021,, 25/3/2021,, 26/3/2021,, 27/3/2021,
morn,after,morn,after,morn,after,morn,after,morn,after,morn,after,morn,after
"{'uid': '16', 'fac_dept': 'ETRX', 'dept': 'ETRX', 'date': ' 21/3/2021', 'slot': 'morn', 'categ': 'supervision'}","{'uid': '2', 'fac_dept': 'MECH', 'dept': 'ETRX', 'date': ' 21/3/2021', 'slot': 'after', 'categ': 'supervision'}","{'uid': '5', 'fac_dept': 'MECH', 'dept': 'ETRX', 'date': ' 22/3/2021', 'slot': 'morn', 'categ': 'supervision'}","{'uid': '21', 'fac_dept': 'COMP', 'dept': 'ETRX', 'date': ' 22/3/2021', 'slot': 'after', 'categ': 'supervision'}",,,,,,,"{'uid': '3', 'fac_dept': 'MECH', 'dept': 'ETRX', 'date': ' 26/3/2021', 'slot': 'morn', 'categ': 'supervision'}","{'uid': '26', 'fac_dept': 'COMP', 'dept': 'ETRX', 'date': ' 26/3/2021', 'slot': 'after', 'categ': 'supervision'}","{'uid': '5', 'fac_dept': 'MECH', 'dept': 'ETRX', 'date': ' 27/3/2021', 'slot': 'morn', 'categ': 'supervision'}","{'uid': '3', 'fac_dept': 'MECH', 'dept': 'ETRX', 'date': ' 27/3/2021', 'slot': 'after', 'categ': 'supervision'}"
"{'uid': '4', 'fac_dept': 'MECH', 'dept': 'ETRX', 'date': ' 21/3/2021', 'slot': 'morn', 'categ': 'reliever'}","{'uid': '25', 'fac_dept': 'COMP', 'dept': 'ETRX', 'date': ' 21/3/2021', 'slot': 'after', 'categ': 'special'}","{'uid': '11', 'fac_dept': 'ETRX', 'dept': 'ETRX', 'date': ' 22/3/2021', 'slot': 'morn', 'categ': 'special'}","{'uid': '14', 'fac_dept': 'ETRX', 'dept': 'ETRX', 'date': ' 22/3/2021', 'slot': 'after', 'categ': 'special'}",,,,,,,"{'uid': '4', 'fac_dept': 'MECH', 'dept': 'ETRX', 'date': ' 26/3/2021', 'slot': 'morn', 'categ': 'reliever'}","{'uid': '14', 'fac_dept': 'ETRX', 'dept': 'ETRX', 'date': ' 26/3/2021', 'slot': 'after', 'categ': 'supervision'}","{'uid': '1', 'fac_dept': 'MECH', 'dept': 'ETRX', 'date': ' 27/3/2021', 'slot': 'morn', 'categ': 'reliever'}","{'uid': '21', 'fac_dept': 'COMP', 'dept': 'ETRX', 'date': ' 27/3/2021', 'slot': 'after', 'categ': 'supervision'}"
,"{'uid': '15', 'fac_dept': 'ETRX', 'dept': 'ETRX', 'date': ' 21/3/2021', 'slot': 'after', 'categ': 'reliever'}","{'uid': '6', 'fac_dept': 'MECH', 'dept': 'ETRX', 'date': ' 22/3/2021', 'slot': 'morn', 'categ': 'reliever'}","{'uid': '26', 'fac_dept': 'COMP', 'dept': 'ETRX', 'date': ' 22/3/2021', 'slot': 'after', 'categ': 'reliever'}",,,,,,,,"{'uid': '12', 'fac_dept': 'ETRX', 'dept': 'ETRX', 'date': ' 26/3/2021', 'slot': 'after', 'categ': 'reliever'}",,"{'uid': '25', 'fac_dept': 'COMP', 'dept': 'ETRX', 'date': ' 27/3/2021', 'slot': 'after', 'categ': 'reliever'}"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
